[StudentAgent] Player 2 chose move with value=76.05, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=83.73, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=5, time=1.601s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.011s
[StudentAgent] Player 1 chose move with value=-7.99, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-4.35, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-16.81, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-11.06, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-7.96, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-7.64, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.86, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=3.62, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=6.58, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=7.09, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=21.03, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=21.48, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=42.37, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=60.67, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=60.67, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=64.46, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=64.62, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=69.47, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=50.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=58.73, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=34.39, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=24.99, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=23.24, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=18.37, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=23.96, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-3.43, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-35.98, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-2.91, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=0.88, final depth=3, time=1.601s
[StudentAgent] Player 1 chose move with value=-13.22, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-13.70, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-5.05, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-4.84, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.40, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.031s
[StudentAgent] Player 2 chose move with value=-19.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=5.25, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-25.59, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-54.07, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-52.60, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.01, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.01, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=4.29, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=5.09, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=7.94, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=26.15, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=43.08, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=42.10, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=71.96, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=75.67, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=-11.71, final depth=4, time=1.600s
